parent_observation_id,detailed_observation_id,parent_source_row,paper_id,metric,setting,parent_numerical_route,parent_reverse_exposure_supported,parent_alignment_status,detailed_numerical_route,detailed_reverse_exposure_supported,detailed_alignment_status,parent_selection,detailed_selection,selection_rule,pair_review_locator,evidence
270:incidence:overall:main,270:incidence:overall:injuryLocation_thigh_incidence,270,S1941,incidence,overall,descriptive_rate_without_usable_sampling_information,true,hold,descriptive_rate_without_usable_sampling_information,false,supported,hold,select,hold_quantitative_parent_scope_unverified,matching-overall-category-adjudication.csv parent=270:incidence:overall:main; detailed=270:incidence:overall:injuryLocation_thigh_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
490:incidence:overall:main,490:incidence:overall:injuryLocation_groin_incidence,490,S2824,incidence,overall,count_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,select,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=490:incidence:overall:main; detailed=490:incidence:overall:injuryLocation_groin_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
490:incidence:overall:main,490:incidence:overall:injuryTissueType_injury_diagnosis_incidence,490,S2824,incidence,overall,count_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,select,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=490:incidence:overall:main; detailed=490:incidence:overall:injuryTissueType_injury_diagnosis_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
491:burden:overall:main,491:burden:overall:injuryLocation_knee_burden,491,S2824,burden,overall,reported_rate_and_interval,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,select,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=491:burden:overall:main; detailed=491:burden:overall:injuryLocation_knee_burden,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
491:burden:overall:main,491:burden:overall:injuryTissueType_injury_diagnosis_burden,491,S2824,burden,overall,reported_rate_and_interval,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,select,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=491:burden:overall:main; detailed=491:burden:overall:injuryTissueType_injury_diagnosis_burden,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
491:incidence:overall:main,491:incidence:overall:injuryLocation_knee_incidence,491,S2824,incidence,overall,count_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,select,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=491:incidence:overall:main; detailed=491:incidence:overall:injuryLocation_knee_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
491:incidence:overall:main,491:incidence:overall:injuryTissueType_injury_diagnosis_incidence,491,S2824,incidence,overall,count_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,select,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=491:incidence:overall:main; detailed=491:incidence:overall:injuryTissueType_injury_diagnosis_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
596:incidence:overall:main,596:incidence:overall:injuryLocation_lower_limb_overall_incidence,596,S374,incidence,overall,count_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,select,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=596:incidence:overall:main; detailed=596:incidence:overall:injuryLocation_lower_limb_overall_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
606:burden:overall:main,606:burden:overall:injuryTissueType_muscle_injury_burden,606,S380,burden,overall,days_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,select,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=606:burden:overall:main; detailed=606:burden:overall:injuryTissueType_muscle_injury_burden,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
606:incidence:overall:main,606:incidence:overall:injuryTissueType_muscle_injury_incidence,606,S380,incidence,overall,count_and_exposure,false,supported,descriptive_rate_without_usable_sampling_information,false,supported,select,duplicate,select_quantitative_parent,matching-overall-category-adjudication.csv parent=606:incidence:overall:main; detailed=606:incidence:overall:injuryTissueType_muscle_injury_incidence,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
